Method,Features,Model,Accuracy,F1-Score
Baseline (No Selection),46,Decision Tree,0.990084985835694,0.990085991800878
Baseline (No Selection),46,Naive Bayes,0.784466477809254,0.7697899438457378
Baseline (No Selection),46,Logistic Regression,0.9067516525023607,0.9062750857892597
Information Gain,10,Decision Tree,0.9860717658168083,0.986074221955351
Information Gain,10,Naive Bayes,0.8496222851746931,0.8437694740600485
Information Gain,10,Logistic Regression,0.886685552407932,0.8856534389899825
Chi-Square,10,Decision Tree,0.7953257790368272,0.7951157356860432
Chi-Square,10,Naive Bayes,0.6045797922568461,0.504288670834633
Chi-Square,10,Logistic Regression,0.6902738432483475,0.6552144372216963
Pearson Correlation,10,Decision Tree,0.9445231350330501,0.9442104168722503
Pearson Correlation,10,Naive Bayes,0.775731822474032,0.7579345188387608
Pearson Correlation,10,Logistic Regression,0.8588290840415487,0.8574978210110945
RFECV,6,Decision Tree,0.9929178470254958,0.9929120403562172
RFECV,6,Naive Bayes,0.8727573182247403,0.8691602142004418
RFECV,6,Logistic Regression,0.8807837582625118,0.8796141067952036
